timestamps,open,high,low,close,volume,amount
2025-04-21,831.5912509941055,834.5471440663595,819.7676787050898,822.7235717773438,18415705,15151034594.397888
2025-04-22,813.8559067670037,816.8117998908548,804.0029296875,804.0029296875,28888527,23226460342.356445
2025-04-23,840.4589624219198,860.1649169921875,835.5324737793528,860.1649169921875,37863656,32568988520.260742
2025-04-24,872.973728745072,872.973728745072,846.3706918645788,851.2971801757812,32238198,27444287051.34851
2025-04-25,886.7679080447635,887.7532057203688,872.9737405862894,874.9443359375,34640282,30308318531.177734
2025-04-28,884.7972482874774,884.7972482874774,879.8707602680594,883.8119506835938,21830091,19293695310.310364
2025-04-29,883.8119761938531,888.7384643554688,879.8707856645605,888.7384643554688,24362874,21652223226.045776
2025-04-30,887.7531849865346,894.6502685546875,885.7825896813481,894.6502685546875,35405654,31675677859.454346
2025-05-02,924.2092039730674,936.0327758789062,918.297418020148,936.0327758789062,43873135,41066692340.56
2025-05-05,941.9445868453491,942.9298845303339,909.4297632408549,924.209228515625,52770209,48770714148.49829
2025-05-06,902.5326861837635,916.3268538765285,902.5326861837635,906.473876953125,37538894,34028026780.712402
2025-05-07,911.4003082801555,918.2973916941676,897.6061414521315,914.356201171875,36907620,33746711217.495117
2025-05-08,919.2826994852303,925.19448533401,904.5032348632812,904.5032348632812,27985917,25313352457.115295
2025-05-09,924.2091506941929,935.0474243164062,920.2679602861153,935.0474243164062,36383573,34020366221.07794
2025-05-12,939.9739775941664,947.8563589576395,938.0033822532981,942.9298706054688,23402547,22066960614.5484
2025-05-13,975.4446685129644,975.4446685129644,954.75341796875,954.75341796875,38047856,36326320562.38281
2025-05-14,975.4446988492399,984.3123779296875,973.4741034980293,984.3123779296875,40475123,39840164567.12659
2025-05-15,985.2976573317914,985.2976573317914,978.4005737304688,978.4005737304688,24662270,24129579117.495728
2025-05-16,976.4299430159147,983.3270263671875,974.4593477726938,983.3270263671875,16878650,16597232713.59253
2025-05-19,978.4005768938762,979.3858745543937,965.5917073071487,969.5328979492188,19906139,19299656631.649963
2025-05-20,976.4300249407871,979.385918053625,963.6211547851562,963.6211547851562,20897857,20137617094.87506
2025-05-21,971.5035114326862,984.3123812588778,968.5476183958727,975.4447021484375,26248757,25604210953.631714
2025-05-22,973.4740415367236,973.4740415367236,964.6063630207008,967.562255859375,18747545,18139416932.025146
2025-05-23,978.4005768938762,978.4005768938762,960.6652190045612,969.5328979492188,22213030,21536263348.132935
2025-05-26,960.6652150388624,969.5328939469134,960.6652150388624,961.6505126953125,19329052,18587792765.714355
2025-05-27,956.7239804915197,960.6651709363869,946.8710043793516,950.8121948242188,26355315,25058954900.433655
2025-05-28,969.5328971286841,970.5181947883677,952.7828369140625,952.7828369140625,26471533,25221622309.204224
2025-05-29,971.5034924480514,971.5034924480514,952.7828369140625,952.7828369140625,48602590,46307713581.571045
2025-06-02,943.9151860372209,946.8710791041433,932.0916137695312,932.0916137695312,33676511,31389593484.11737
2025-06-03,945.8857524671052,950.8122407612047,936.0327758789062,936.0327758789062,26020787,24356309486.163757
2025-06-04,959.6799392854324,975.4447021484375,955.7387485696811,975.4447021484375,37233567,36319285672.23889
2025-06-05,985.2976216104083,985.2976216104083,976.4299430159147,983.3270263671875,24414444,24007382618.928223
2025-06-06,982.3417500711565,982.3417500711565,976.4299642131556,980.3711547851562,13670307,13401974659.857605
